Question,Option_1,Option_2,Option_3,Option_4,Explanation,Type,File,Country,Category,Wikipedia,Answer_Type,False_type
Which English philosopher and statesman patented a system for categorizing books and influenced the development of the Dewey Decimal System in the 18th century?,Francis Bacon,I don't know,John Locke,Isaac Newton,"The false premise is that Francis Bacon influenced the development of the Dewey Decimal System in the 18th century. This is not true, as the Dewey Decimal System was developed by Melvil Dewey in the late 19th century, long after Bacon's time.",Intersection,14_Francis_Bacon,United_Kingdom,Arts_and_Literature,https://en.wikipedia.org/wiki/Francis_Bacon,Person,Entity
What is the name of the Iranian poet whose works were published by the University of Tehran Press when it was founded?,Rumi,Hafez,Ferdowsi,I don't know,The University of Tehran Press did not publish the works of any Iranian poets when it was founded specifically.,Temporal,6_University_of_Tehran,Iran,Education,https://en.wikipedia.org/wiki/University_of_Tehran,Person,Entity
How many year-round ski resort mountains are there in the country to which Federico Fellini was sent to work on the screenplay of I cavalieri del deserto?,I don't know,1,3,2,"The climate of Lybia, the country to which Federico Fellini was sent, is far too hot and dry for skiing, with no snow-covered mountains.",Geographical,2_Federico_Fellini,Italy,Entertainment,https://en.wikipedia.org/wiki/Federico_Fellini,Number,Entity
Which chef during the Qing dynasty popularized the use of Sichuan peppers in hot pot cuisine and also incorporated wild mushrooms from Yunnan province?,Qianlong Emperor,Empress Dowager Cixi,I don't know,Jiaqing Emperor,"The question has a false premise that a single chef during the Qing dynasty was responsible for both popularizing Sichuan peppers in hot pot and incorporating wild mushrooms from Yunnan. In reality, these were separate regional innovations that occurred over time, not the work of a single individual.",Intersection,5_Hot_pot,China,Food,https://en.wikipedia.org/wiki/Hot_pot,Person,Entity
What was the nationality of the first emperor to mandate the production of sauerkraut in Germany?,Roman,Prussian,Mongol,I don't know,"There is no evidence that any emperor mandated the production of sauerkraut in Germany. Sauerkraut has a long history in European cuisines, but there is no record of it being mandated by an emperor.",Named,4_Sauerkraut,Germany,Food,https://en.wikipedia.org/wiki/Sauerkraut,Language_or_Nationality_or_Country,Entity
Which Iranian chef both invented the chelo kebab dish and popularized the use of sumac powder as an accompaniment in the 16th century?,Ahmad Darwish,Ali Baba,Mehran Vakil,I don't know,"The chelo kebab dish existed before the 16th century, and the use of sumac powder as an accompaniment is a traditional practice, not something newly introduced.",Intersection,2_Chelo_kebab,Iran,Food,https://en.wikipedia.org/wiki/Chelo_kebab,Person,Entity
Which Italian city first introduced gelato to France and also held the world's largest ice cream cone competition in 2011?,I don't know,Rimini,Bologna,Florence,The question contains a false premise that an Italian city first introduced gelato to France and also held the world's largest ice cream cone competition in 2011.,Intersection,5_Gelato,Italy,Food,https://en.wikipedia.org/wiki/Gelato,Location,Entity
Which Italian artist created a large-scale light installation featuring phosphorescent sculptures and projected images for the 2002 Notte Bianca in Rome?,Michelangelo,Caravaggio,Leonardo da Vinci,I don't know,"The 2002 Notte Bianca event in Rome did not feature any large-scale light installations or phosphorescent sculptures created by Italian artists. The first Notte Bianca event was held in Paris in 2002, not Rome.",Intersection,13_Notte_Bianca,Italy,Holidays_Celebrations_Leisure,https://en.wikipedia.org/wiki/Notte_Bianca,Person,Entity
Which civilization first cultivated the fertile lands of the Po Valley and also established a system of irrigation canals in the 5th century BCE?,Byzantine,Etruscan,I don't know,Roman,"The Po Valley was not cultivated and irrigated in the 5th century BCE. The land reclamation and irrigation systems were developed much later, mainly during the Middle Ages.",Comparison,4_Po_Valley,Italy,Geography,https://en.wikipedia.org/wiki/Po_Valley,Group_or_Org,Entity
What was the name of the famous opera house in the capital city of Italy that was destroyed in the 1849 siege of the city?,Teatro Valle,Teatro dell'Opera di Roma,I don't know,Teatro Argentina,There was no famous opera house in Rome that was destroyed during the 1849 siege of the city. The false premise is the existence of a famous opera house in Rome that was destroyed at that time.,Geographical,6_Rome,Italy,Geography,https://en.wikipedia.org/wiki/Rome,Location,Entity
"Which type of Baccalauréat in France is specifically designed for students to either enter professional life or pursue short technical studies, Baccalauréat général or Baccalauréat technologique?",I don't know,Baccalauréat technologique,Both are similar and the only difference is the duration,Baccalauréat général,"The baccalauréat général (general baccalaureate), specially made to enter university and continue studies; while the baccalauréat technologique (technological baccalaureate), specially made to work or continue short technical studies; and the baccalauréat professionnel (professional baccalaureate), specially made to enter professional life. Accordingly, none of the mentioned options is designed for the both possibilities.",Comparison,2_baccalauréat,France,Education,https://en.wikipedia.org/wiki/baccalauréat,Other_proper_noun,Event
What is the most popular cultivar of jasmine plant used in the production of Okinawan Sanpin-cha tea?,Jasminum grandiflorum,Jasminum officinale,Jasminum sambac,I don't know,"The document does not mention any specific cultivars of jasmine plants used in the production of Okinawan Sanpin-cha tea. The false premise is that there is a known, popular cultivar used for this tea.",Named,13_Jasmine_tea,China,Food,https://en.wikipedia.org/wiki/Jasmine_tea,Food_Drink,Event
What was the political party affiliation of the French president who oversaw the building of the Basilica of Sacré-Cœur in Paris?,Radical,I don't know,Gaullist,Monarchist,"The Basilica of Sacré-Cœur was built between 1875 and 1914, before the establishment of modern political parties in France. There was no French president who oversaw its construction.",Named,2_Catholic_Church_in_France,France,Religion,https://en.wikipedia.org/wiki/Catholic_Church_in_France,Group_or_Org,Event
What was the religion of the Parisian Mayor who participated in the consecration of the choir of Notre-Dame Cathedral in 1182?,I don't know,Catholic,Jewish,Protestant,"The question assumes that the Mayor of Paris participated in the consecration of the choir of Notre-Dame Cathedral in 1182, which is false. The cathedral's choir was consecrated in 1182, but there is no record of the Mayor of Paris being present.",Named,6_Notre-Dame_de_Paris,France,Religion,https://en.wikipedia.org/wiki/Notre-Dame_de_Paris,Common_noun,Event
What is the main religion practiced by members of the Bavarian royal family as of 2010?,Catholicism,I don't know,Islam,Lutheranism,"The Bavarian royal family no longer exists, as the Kingdom of Bavaria was abolished in 1918. Their religion at that time is irrelevant to the present day.",Named,1_Christianity_in_Germany,Germany,Religion,https://en.wikipedia.org/wiki/Christianity_in_Germany,Common_noun,Event
What was the first subject Degas painted after being discharged from the National Guard during the Franco-Prussian War?,Ballet Dancers,I don't know,Racehorses,Bathing Nudes,"Degas did not paint any new subjects immediately after the Franco-Prussian War, as he had enlisted in the National Guard and had little time for painting during the conflict.",Temporal,12_Edgar_Degas,France,Arts_and_Literature,https://en.wikipedia.org/wiki/Edgar_Degas,Common_noun,Event
"Which university, Polytechnic University of Milan or University of Milan, has more Nobel laureates in Economis?",Both have equally two laureates,I don't know,Polytechnic University of Milan,University of Milan,None of the mentioned universityes have had a Nobel Laureates in Economics.,Comparison,1_Education_in_Italy,Italy,Education,https://en.wikipedia.org/wiki/Education_in_Italy,Group_or_Org,Event
In which year was the german university founded by the order of Pope Urban V established?,1386,1302,I don't know,1385,"Heidelberg University was founded in 1386 on the instruction of Pope Urban VI, V.",Named,7_University_of_Heidelberg,Germany,Education,https://en.wikipedia.org/wiki/University_of_Heidelberg,Date_or_Time_Period,Event
What was the first college established at the University of Cambridge before the university received its royal charter?,Peterhouse,King's College,Corpus Christi College,I don't know,"The University of Cambridge did not have any colleges established before it received its royal charter in 1231. The first college, Peterhouse, was founded in 1284.",Temporal,7_University_of_Cambridge,United_Kingdom,Education,https://en.wikipedia.org/wiki/University_of_Cambridge,Group_or_Org,Event
What was the brand of the match ball used in the FIFA World Cup final between Germany and Argentina that was played in the Maracana stadium in Chile?,Adidas,Mitre,I don't know,Nike,"The 2014 FIFA World Cup final was played in Rio de Janeiro, Brazil, not in Chile. The match ball used was the Adidas Brazuca Final Rio, not a ball from another brand.",Geographical,1_2014_FIFA_World_Cup_final,Germany,Sports,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final,Group_or_Org,Event
